listing_id,farmer_id,crop,variety,quantity_tonnes,price_per_quintal,description,harvest_date,listed_at,cluster,district,taluka,village
L0001,F0001,Wheat,NIAW-34,3.18,3117.14,"Well-graded Wheat, stored in dry conditions, ready for immediate sale.",2026-04-27,2026-05-11,Vidarbha,Bhandara,Tumsar,Ashti
L0002,F0002,Soybean,MACS 1281,9.77,4989.86,"Well-graded Soybean, stored in dry conditions, ready for immediate sale.",2024-12-31,2026-08-09,Vidarbha,Nagpur,Parseoni,Amadi
L0003,F0003,Jowar,CSH-16,9.94,3604.91,"Freshly harvested Jowar, good grade, cleaned and ready for pickup.",2024-10-22,2026-01-09,Vidarbha,Yavatmal,Ner,Mangladevi
L0004,F0004,Tur,Phule Rajeshwari,2.91,6676.53,"Freshly harvested Tur, good grade, cleaned and ready for pickup.",2025-10-22,2026-06-15,Vidarbha,Wardha,Karanja,Borgaon Dhole
L0005,F0005,Tur,Vipula,9.37,6409.26,"Healthy Tur yield this season, sorted and free of visible damage.",2024-12-26,2026-07-12,Vidarbha,Gondia,Goregaon,Dawwa
L0006,F0005,Rice,Ambemohar,11.61,3581.19,"Rice harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-11-19,2026-06-11,Vidarbha,Gondia,Goregaon,Dawwa
L0007,F0006,Banana,Grand Naine,7.79,4184.9,"Quality Banana lot from this season, well-dried and properly sorted.",2025-07-11,2026-05-30,Khandesh,Jalgaon,Erandol,Anandnagar
L0008,F0006,Banana,Shrimanti,1.19,2975.89,"Quality Banana lot from this season, well-dried and properly sorted.",2025-06-22,2026-08-05,Khandesh,Jalgaon,Erandol,Anandnagar
L0009,F0007,Cotton,RCH-2 Bt,14.76,8352.82,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-11-11,2026-07-18,Vidarbha,Chandrapur,Warora,Abamakta
L0010,F0007,Rice,Karjat-3,16.04,4561.94,"Freshly harvested Rice, good grade, cleaned and ready for pickup.",2025-11-24,2026-05-01,Vidarbha,Chandrapur,Warora,Abamakta
L0011,F0007,Cotton,RCH-2 Bt,5.06,8727.89,"Good staple length Cotton, hand-picked, low trash content, ready for ginning.",2024-10-02,2026-07-24,Vidarbha,Chandrapur,Warora,Abamakta
L0012,F0008,Jowar,Phule Vasudha,1.23,3365.96,"Jowar harvest, medium-to-large grade, minimal moisture, farm-fresh.",2024-10-09,2026-08-02,Vidarbha,Buldhana,Chikhli,Amdapur
